W	hierarchical	binary	sequential
0.01	12.27	9.7	34.2
0.02	11.32	8.84	26.57
0.03	10.6	7.95	22.59
0.04	9.85	7.06	20.14
0.05	9.16	6.79	18.22
0.06	8.82	6.32	16.66
0.07	8.47	5.79	15.41
0.08	8.16	5.45	14.23
0.09	7.86	5.12	13.28
0.1	7.38	4.95	12.41
0.11	6.45	4.86	11.58
0.12	5.75	4.71	10.42
0.13	5.62	4.53	9.54
0.14	5.46	4.44	8.75
0.15	5.32	4.36	8.09
0.16	5.12	4.18	7.48
0.17	4.76	3.15	7.12
0.18	4.63	3.08	6.77
0.19	4.47	3.04	6.29
0.2	4.14	2.91	5.91
0.21	3.96	2.85	5.71
0.22	3.8	2.83	5.5
0.23	3.62	2.81	5.05
0.24	3.48	2.79	4.87
0.25	3.31	2.71	4.55
0.26	3.14	2.55	4.13
0.27	2.96	2.54	3.84
0.28	2.86	2.53	3.58
0.29	2.74	2.51	3.33
0.3	2.67	2.46	3.26
