W	hierarchical	binary	sequential
0.01	41.5662056222511	30.9780728277951	39.3767768533608
0.02	41.2923445647182	30.4216549401985	39.3515025376423
0.03	41.0589098713835	29.5910585996799	39.0052431928839
0.04	40.8237465640819	28.2042732732838	38.6283297339572
0.05	40.5750802906972	28.0935638030101	38.2857178665482
0.06	40.2934893752732	27.658998648933	37.6839479515905
0.07	40.105349082852	26.7794725710539	37.1621599001136
0.08	39.8239343624922	26.337190311527	36.3928993524883
0.09	39.6009978049676	25.9228448928505	35.5150503053214
0.1	38.5060269168428	25.4898684097255	35.3704390839464
0.11	36.0896933403207	25.411854632606	34.5792573580176
0.12	33.7986614299284	25.3054421939617	33.6372306597206
0.13	33.3426442244676	25.1940987331232	32.4679219192444
0.14	32.8297811578646	24.8824532317317	31.9285797284762
0.15	32.2982587808785	24.6810516811158	31.4050492833177
0.16	31.1997774836171	24.0135262054811	29.7947716471456
0.17	29.7488086053778	15.9964127983736	29.3452424866098
0.18	29.0349999218995	15.6056394520894	28.1914840519284
0.19	28.2584442366775	15.4533259482464	26.6028297623711
0.2	26.8479260915684	14.4154003924362	25.5111017175408
0.21	25.4438172335624	13.9336975366965	24.70487705013
0.22	24.7798792294303	13.9104652307409	24.2305289210279
0.23	23.5838285723068	13.7705633326816	22.219957147162
0.24	22.55158328158	13.7448400772373	21.3780772620549
0.25	21.156982774225	12.9294003371983	20.1173224478806
0.26	19.759483719902	11.1785393798677	18.696744652992
0.27	18.2006029081567	11.164202462305	17.3996445138614
0.28	17.2665991442605	11.0244175160685	16.5166018131069
0.29	15.9726378159345	10.9466860367186	15.2103617397502
0.3	14.957507132517	10.4653324795132	14.4438337729169
