med,uw,lw,lq,mq,uq
44.364,61.153,25.12,36.781,45.068,52.204
43.931,59.083,27.854,37.846,43.523,51.207
42.557,58.916,23.448,37.123,42.495,48.755
41.593,58.942,26.165,34.182,41.849,48.752
41.282,59.409,20.914,36.364,40.24,48.381
41.027,58.03,20.467,36.522,42.189,46.442
38.523,54.996,21.139,29.495,40.686,46.282
39.52,55.795,22.056,30.901,43.059,47.81
37.093,56.398,14.656,30.767,34.62,46.885
35.083,55.081,15.185,30.074,34.859,40.335
35.533,54.973,15.498,32.156,35.527,40.975
34.339,55.804,13.807,26.044,35.536,41.437
33.018,47.548,16.503,21.041,36.203,41.626
31.933,50.153,14.157,21.57,35.477,41.463
29.85,49.407,0,21.774,24.727,41.802
27.672,49.768,0,20.819,24.797,39.579
27.013,50.058,0,21.297,24.242,32.239
25.878,48.7,0,20.579,24.465,28.514
23.167,48.571,0,20.179,23.75,28.916
23.013,48.87,0,22.117,24.925,27.238
20.122,48.672,0,0,24.651,28.24
18.136,49.149,0,0,24.659,28.122
20.152,35.235,0,0,25.396,28.57
15.894,33.955,0,0,24.948,27.444
15.835,34.907,0,0,25.248,28.953
10.44,34.218,0,0,0,27.262
9.9915,34.697,0,0,0,28.544
9.8159,34.865,0,0,0,28.891
4.3649,33.666,0,0,0,0
6.7308,34.942,0,0,0,0
