w,n_binary,n_hierarchical,n_sequential
0.01,21.84,21.95,32.41
0.02,20.65,20.45,27.46
0.03,19.17,18.37,23.84
0.04,17.36,16.77,22.11
0.05,15.94,14.98,21.02
0.06,14.02,13.25,20.3
0.07,12.9,12.22,19.95
0.08,12.02,11.26,20.42
0.09,11.1,10.54,20.49
0.1,10.29,9.97,20.4
0.11,9.68,9.11,19.42
0.12,8.78,8.46,18.2
0.13,8.25,7.8,17.18
0.14,7.71,7.38,16.27
0.15,7.08,6.99,15.45
0.16,6.61,6.63,14.68
0.17,6.13,6.13,13.8
0.18,5.86,5.85,13.1
0.19,5.44,5.67,12.45
0.2,4.92,5.36,11.85
0.21,4.78,5.18,11.61
0.22,4.64,5.02,11.19
0.23,4.47,4.81,10.86
0.24,4.21,4.66,10.33
0.25,4.17,4.48,10.03
0.26,3.95,4.17,9.28
0.27,3.76,3.98,8.98
0.28,3.57,3.86,8.61
0.29,3.45,3.72,8.32
0.3,3.35,3.54,8.03
