w,n_binary,n_hierarchical,n_sequential
0.01,17.42,20,48.34
0.02,15.94,16.89,35.7
0.03,11.79,12.35,26.25
0.04,9.35,9.68,20.4
0.05,7.87,8.04,16.99
0.06,6.64,6.72,14.58
0.07,5.78,5.95,12.54
0.08,5.09,5.29,10.85
0.09,4.62,4.61,9.67
0.1,4.18,4.16,8.71
0.11,3.88,3.74,7.81
0.12,3.54,3.51,7.13
0.13,3.2,3.33,6.54
0.14,3.02,3.04,6.02
0.15,2.81,2.83,5.58
0.16,2.64,2.62,5.14
0.17,2.5,2.52,4.84
0.18,2.4,2.35,4.55
0.19,2.24,2.24,4.31
0.2,2.12,2.1,4.02
0.21,1.99,1.98,3.8
0.22,1.95,1.87,3.59
0.23,1.92,1.79,3.45
0.24,1.84,1.77,3.31
0.25,1.75,1.72,3.23
0.26,1.68,1.64,3.11
0.27,1.6,1.6,2.99
0.28,1.54,1.55,2.9
0.29,1.5,1.51,2.84
0.3,1.46,1.41,2.71
