0.01,17.42,20,81.99
0.02,15.94,16.89,45.57
0.03,11.79,12.35,31.08
0.04,9.35,9.68,23.66
0.05,7.87,8.04,18.38
0.06,6.64,6.72,15.01
0.07,5.78,5.95,12.59
0.08,5.09,5.29,10.75
0.09,4.62,4.61,9.3
0.1,4.18,4.16,8.09
0.11,3.88,3.74,7.22
0.12,3.54,3.51,6.39
0.13,3.2,3.33,5.82
0.14,3.02,3.04,5.1
0.15,2.81,2.83,4.76
0.16,2.64,2.62,4.24
0.17,2.5,2.52,3.87
0.18,2.4,2.35,3.63
0.19,2.24,2.24,3.41
0.2,2.12,2.1,3.06
0.21,1.99,1.98,2.85
0.22,1.95,1.87,2.66
0.23,1.92,1.79,2.48
0.24,1.84,1.77,2.35
0.25,1.75,1.72,2.27
0.26,1.68,1.64,2.13
0.27,1.6,1.6,2.06
0.28,1.54,1.55,1.9
0.29,1.5,1.51,1.86
0.3,1.46,1.41,1.75
