w,n_binary,n_hierarchical,n_sequential
0.01,14.93,17.67,30.88
0.02,14.46,16.78,29.17
0.03,13.77,15.09,27.16
0.04,12.4,13.57,25.88
0.05,10.79,11.57,23.13
0.06,9.4,9.75,18.81
0.07,8.32,8.69,17.35
0.08,7.39,7.89,16.04
0.09,6.79,7.03,14.79
0.1,6.24,6.35,13.42
0.11,5.59,5.76,12.05
0.12,5.05,5.15,11.06
0.13,4.77,4.78,10.37
0.14,4.38,4.48,9.85
0.15,4.04,4.15,9.05
0.16,3.81,3.78,8.36
0.17,3.58,3.57,7.72
0.18,3.34,3.33,7.25
0.19,3.1,3.1,6.75
0.2,2.93,2.95,6.26
0.21,2.8,2.83,5.97
0.22,2.62,2.65,5.55
0.23,2.44,2.51,5.15
0.24,2.31,2.4,4.85
0.25,2.22,2.32,4.61
0.26,2.07,2.24,4.35
0.27,1.95,2.13,4.03
0.28,1.89,2.04,3.79
0.29,1.84,1.96,3.58
0.3,1.68,1.87,3.38
