W	hierarchical	binary	sequential
0.01	9.84	6.87	20.3
0.02	8.21	5.28	14.6
0.03	6.78	4.47	10.52
0.04	5.76	4.04	8.63
0.05	4.96	3.63	7.15
0.06	4.4	3.23	6.08
0.07	3.89	3.09	5.18
0.08	3.54	2.97	4.46
0.09	3.31	2.83	3.99
0.1	3	2.67	3.5
0.11	2.76	2.6	3.12
0.12	2.6	2.51	2.87
0.13	2.48	2.42	2.63
0.14	2.39	2.33	2.49
0.15	2.3	2.24	2.41
0.16	2.25	2.19	2.32
0.17	2.18	2.15	2.23
0.18	2.15	2.13	2.19
0.19	2.09	2.05	2.12
0.2	2.05	2.05	2.08
0.21	2.05	2.05	2.06
0.22	2.05	2.04	2.04
0.23	2.02	2.02	2.02
0.24	2.01	2.01	2.01
0.25	2	2	2
0.26	2	2	2
0.27	2	2	2
0.28	2	2	2
0.29	2	2	2
0.3	2	2	2
