W	hierarchical	binary	sequential
0.01	12.17	10.86	30.69
0.02	10.37	8.84	22.33
0.03	8.69	7.59	17.33
0.04	7.29	6.75	13.95
0.05	6.39	5.86	11.7
0.06	5.65	5.17	9.93
0.07	4.85	4.64	8.67
0.08	4.35	4.39	7.72
0.09	4.01	4.17	6.72
0.1	3.84	3.96	6.13
0.11	3.67	3.69	5.6
0.12	3.51	3.54	5.15
0.13	3.26	3.34	4.68
0.14	3.02	3.19	4.32
0.15	2.86	3.05	4.07
0.16	2.77	2.9	3.84
0.17	2.77	2.8	3.64
0.18	2.7	2.77	3.46
0.19	2.65	2.68	3.24
0.2	2.61	2.63	3.06
0.21	2.53	2.51	2.86
0.22	2.45	2.5	2.75
0.23	2.45	2.4	2.68
0.24	2.44	2.34	2.63
0.25	2.44	2.29	2.57
0.26	2.36	2.26	2.49
0.27	2.34	2.24	2.43
0.28	2.29	2.21	2.36
0.29	2.27	2.2	2.34
0.3	2.24	2.16	2.32
