W	hierarchical	binary	sequential
0.01	32.009412976198	27.8423122952782	30.2522281115278
0.02	31.4651600381285	25.7371437048072	30.2715250691742
0.03	30.626245801019	24.6079395035173	29.9015775448752
0.04	29.7972993310838	23.6803832458838	29.1159345920812
0.05	28.7745004316795	22.2793182060592	28.5673080583104
0.06	28.0602582479218	21.2647762319332	27.6865592158112
0.07	26.6934653650219	20.4265892196427	27.0606112729943
0.08	25.6150378952194	19.9531255530158	26.2486599969025
0.09	24.8685893068967	19.5891556166846	25.0549282563522
0.1	24.4953811574158	19.1216540497767	24.4151939683537
0.11	23.9774426018249	18.033594058488	23.7825566530505
0.12	23.3271105047725	17.4787049175047	23.0066079870703
0.13	22.0671488593047	16.7257797061235	21.8321458079585
0.14	20.5355148977047	15.9958864012332	20.7211712118474
0.15	19.4368764886126	15.4588746211469	20.2654627596575
0.16	18.7128790393701	14.6617289800884	19.5256437812067
0.17	18.7128790393701	13.7304161868345	18.617645107306
0.18	17.8044894269991	13.5756064751132	17.7314652718955
0.19	17.1804451460958	13.0090734235243	16.6405837374996
0.2	16.4898982588146	12.6325613346	15.5727500059183
0.21	15.2177329366379	11.3981910367775	13.7407716318631
0.22	13.9894240977174	11.3440243701109	13.1633182774137
0.23	13.9894240977174	10.2278764584591	12.7247399993296
0.24	13.7589172751053	9.56749305823708	12.7819743241169
0.25	13.7589172751053	8.58247384625702	12.3640852814027
0.26	12.1286479161737	7.81908597200369	11.0894260648875
0.27	11.8056462848523	7.554811547426	10.521614993704
0.28	10.4155677783082	6.72699833757829	9.14989746252025
0.29	9.84761846117677	6.44298473213611	8.9228797940639
0.3	8.97089140917154	5.40751417545809	8.4925087647731
