w,n_binary,n_hierarchical,n_sequential
0.01,30.22,34.39,71.08
0.02,25.9,27.82,52.47
0.03,19.61,20.62,42.23
0.04,15.76,16.51,34.44
0.05,12.88,13.52,28.22
0.06,10.97,11.36,23.88
0.07,9.57,9.93,20.71
0.08,8.54,8.83,18.27
0.09,7.6,7.71,16.22
0.1,6.73,6.95,14.6
0.11,6.18,6.16,13.15
0.12,5.59,5.65,11.92
0.13,5.05,5.26,10.8
0.14,4.69,4.85,9.87
0.15,4.44,4.45,9.1
0.16,4.23,4.19,8.42
0.17,3.84,3.85,7.81
0.18,3.47,3.59,7.26
0.19,3.29,3.35,6.8
0.2,3.08,3.16,6.38
0.21,2.91,3.03,5.98
0.22,2.74,2.86,5.67
0.23,2.61,2.68,5.3
0.24,2.56,2.54,5.02
0.25,2.47,2.46,4.81
0.26,2.37,2.35,4.56
0.27,2.29,2.3,4.37
0.28,2.2,2.16,4.13
0.29,2.07,2.12,3.97
0.3,2,1.99,3.79
