w,n_binary,n_hierarchical,n_sequential
0.01,18.62,21.64,47.86
0.02,18.15,20.84,40.44
0.03,17.02,19.24,35.27
0.04,15.83,17.5,33.68
0.05,14.42,15.55,30.47
0.06,13,14.07,28.54
0.07,11.9,12.71,27.7
0.08,10.92,11.54,25.3
0.09,10.12,10.65,22.66
0.1,9.33,9.89,21.35
0.11,8.79,9.17,20.09
0.12,8.15,8.28,18.56
0.13,7.69,7.75,17.21
0.14,7.26,7.3,16.33
0.15,6.62,6.68,15.23
0.16,6.19,6.38,14.34
0.17,5.75,5.98,13.44
0.18,5.49,5.75,12.84
0.19,5.12,5.4,12.13
0.2,4.76,5.03,11.41
0.21,4.64,4.9,10.91
0.22,4.49,4.6,10.38
0.23,4.23,4.32,9.8
0.24,4.03,4.09,9.42
0.25,3.88,3.95,9.08
0.26,3.63,3.69,8.59
0.27,3.47,3.56,8.2
0.28,3.28,3.43,7.79
0.29,3.14,3.3,7.42
0.3,3.01,3.21,7.07
