x	y
0.625	3.29E-05
0.635	9.34E-05
0.645	5.89E-05
0.655	3.67E-05
0.665	0.000100806685658
0.675	8.49E-05
0.685	2.05E-05
0.695	4.82E-05
0.705	0.000100689060493
0.715	8.46E-05
0.725	0.000172491314962
0.735	2.35E-05
0.745	9.01E-05
0.755	0.000242987845013
0.765	0.000125925938149
0.775	0.00017366833996
0.785	0.000146456378396
0.795	0.00023161106282
0.805	0.000128014061426
0.815	0.000144748321226
0.825	0.000102472586919
0.835	0.000126885321843
0.845	9.94E-05
0.855	0.000176023938998
0.865	0.000115829512242
0.875	7.46E-05
0.885	5.77E-06
0.895	3.07E-05
0.905	5.84E-05
0.915	5.56E-05
0.925	8.07E-05
0.935	9.04E-06
0.945	5.18E-05
0.955	2.34E-05
0.965	4.37E-05
0.975	4.93E-05
0.985	6.85E-05
0.995	3.82E-05
1.005	0.000135246589164
1.015	0.000118104681251
1.025	0.000125962199746
1.035	9.97E-05
1.045	7.16E-05
1.055	0.00013500520928
1.065	0.000108588223888
1.075	8.56E-05
1.085	9.81E-05
1.095	5.61E-05
1.105	8.18E-06
1.115	2.87E-05
1.125	4.62E-05
1.135	4.57E-05
1.145	2.87E-05
1.155	3.66E-06
1.165	4.99E-05
1.175	4.78E-05
1.185	5.70E-05
1.195	4.60E-05
1.205	1.34E-05
1.215	4.96E-05
1.225	9.26E-05
1.235	8.02E-05
1.245	7.22E-05
1.255	0.000115308911872
1.265	0.000117288195109
1.275	8.73E-05
1.285	8.73E-05
1.295	0.000118361167126
1.305	8.98E-05
1.315	6.35E-05
1.325	7.09E-05
1.335	5.19E-05
1.345	6.83E-05
1.355	9.05E-05
1.365	2.77E-05
1.375	2.80E-06
1.385	4.71E-05
1.395	3.92E-05
1.405	1.04E-05
1.415	7.92E-06
1.425	1.53E-05
1.435	1.98E-05
1.445	2.42E-05
1.455	5.51E-05
1.465	4.17E-05
1.475	7.49E-05
1.485	3.20E-05
1.495	3.92E-06
1.505	0.000162527107089
1.515	0.000101718258208
1.525	8.89E-05
1.535	3.31E-05
1.545	2.64E-05
1.555	3.88E-05
1.565	4.04E-05
1.575	1.12E-06
1.585	1.31E-05
1.595	1.58E-05
1.605	9.74E-06
1.615	2.59E-05
1.625	3.67E-06
1.635	2.59E-05
1.645	2.92E-05
1.655	1.68E-05
1.665	3.21E-05
1.675	5.60E-05
1.685	5.45E-05
1.695	5.77E-05
1.705	6.53E-05
1.715	0.000107183053972
1.725	9.16E-05
1.735	0.000109529960552
1.745	3.87E-05
1.755	9.09E-05
1.765	6.60E-05
1.775	3.94E-05
1.785	7.27E-05
1.795	0.000105119596492
1.805	7.60E-05
1.815	1.61E-05
1.825	7.85E-05
1.835	8.04E-05
1.845	5.25E-05
1.855	2.58E-05
1.865	5.55E-07
1.875	5.34E-05
1.885	1.38E-05
1.895	2.35E-06
1.905	1.87E-05
1.915	3.21E-05
1.925	4.23E-05
1.935	4.89E-05
1.945	8.23E-05
1.955	8.10E-05
1.965	0.000105899210025
1.975	9.57E-05
1.985	0.000111066329596
1.995	0.000121330517548
2.005	5.69E-05
2.015	5.77E-05
2.025	3.38E-05
2.035	1.44E-05
2.045	4.72E-06
2.055	6.10E-05
2.065	6.31E-05
2.075	4.17E-05
2.085	5.82E-05
2.095	5.16E-05
2.105	2.23E-05
2.115	2.97E-05
2.125	1.81E-05
2.135	4.38E-05
2.145	4.75E-05
2.155	2.95E-05
2.165	1.01E-05
2.175	7.09E-05
2.185	6.14E-05
2.195	1.18E-05
2.205	4.40E-05
2.215	6.62E-05
2.225	4.78E-05
2.235	4.95E-05
2.245	1.03E-05
2.255	0.000100656548392
2.265	0.000100393700622
2.275	8.06E-05
2.285	7.21E-05
2.295	7.49E-05
2.305	8.92E-05
2.315	5.42E-05
2.325	3.11E-05
2.335	1.99E-05
2.345	2.10E-05
2.355	3.44E-05
2.365	2.97E-05
2.375	7.20E-06
2.385	2.54E-06
2.395	6.63E-07
2.405	1.36E-05
2.415	4.51E-05
2.425	6.33E-05
2.435	6.79E-05
2.445	5.89E-05
2.455	3.61E-05
2.465	2.99E-05
2.475	4.01E-05
2.485	6.67E-05
2.495	4.84E-05
2.505	0.000106361489953
2.515	0.000153662926703
2.525	0.000185154524198
2.535	0.000200961261897
2.545	0.000170689064986
2.555	0.000155495140043
2.565	0.000124982528983
2.575	7.93E-05
2.585	7.95E-05
2.595	0.000125823258477
2.605	0.000126767002205
2.615	0.000143492048136
2.625	0.000115075731087
2.635	7.21E-05
2.645	4.53E-05
2.655	2.63E-05
2.665	9.97E-06
2.675	6.27E-05
2.685	7.09E-05
2.695	9.57E-05
2.705	7.63E-05
2.715	7.37E-05
2.725	5.75E-05
2.735	2.60E-06
2.745	4.60E-05
2.755	0.000142296120503
2.765	0.000164414271173
2.775	0.000173452276523
2.785	0.000138986660497
2.795	0.000122145669562
2.805	9.25E-05
2.815	5.02E-05
2.825	8.67E-05
2.835	8.03E-05
2.845	9.19E-05
2.855	9.11E-05
2.865	4.76E-05
2.875	2.24E-05
2.885	1.49E-05
2.895	3.37E-05
2.905	3.38E-06
2.915	1.51E-05
2.925	5.23E-05
2.935	4.73E-05
2.945	3.07E-05
2.955	3.31E-05
2.965	6.51E-06
2.975	3.56E-06
2.985	3.29E-05
2.995	2.04E-05
3.005	0.000118876580921
3.015	0.000114722757274
3.025	9.96E-05
3.035	4.30E-05
3.045	6.03E-06
3.055	4.99E-05
3.065	8.30E-05
3.075	7.49E-05
3.085	8.68E-05
3.095	8.82E-05
3.105	7.91E-05
