x	y
0.626	2.40E-05
0.627	4.54E-05
0.628	6.43E-05
0.629	8.07E-05
0.63	9.45E-05
0.631	0.000105800186393
0.632	0.000114596355634
0.633	0.000120888916549
0.634	0.000124685773196
0.635	0.000125994792258
0.636	0.000124823803286
0.637	0.000121180598924
0.638	0.000115072935147
0.639	0.000106508531489
0.64	9.55E-05
0.641	8.20E-05
0.642	6.62E-05
0.643	4.78E-05
0.644	2.71E-05
0.645	3.96E-06
0.646	1.91E-05
0.647	3.96E-05
0.648	5.77E-05
0.649	7.34E-05
0.65	8.68E-05
0.651	9.78E-05
0.652	0.000106467255908
0.653	0.000112760335815
0.654	0.000116708246712
0.655	0.000118318154894
0.656	0.000117597193861
0.657	0.000114552464511
0.658	0.000109191035347
0.659	0.000101519942666
0.66	9.15E-05
0.661	7.93E-05
0.662	6.47E-05
0.663	4.79E-05
0.664	2.88E-05
0.665	7.38E-06
0.666	1.46E-05
0.667	3.43E-05
0.668	5.17E-05
0.669	6.69E-05
0.67	7.98E-05
0.671	9.05E-05
0.672	9.90E-05
0.673	0.000105314559594
0.674	0.000109388854949
0.675	0.000111261842947
0.676	0.000110940041157
0.677	0.000108429938244
0.678	0.00010373799414
0.679	9.69E-05
0.68	8.78E-05
0.681	7.66E-05
0.682	6.33E-05
0.683	4.78E-05
0.684	3.01E-05
0.685	1.03E-05
0.686	1.06E-05
0.687	2.95E-05
0.688	4.62E-05
0.689	6.09E-05
0.69	7.34E-05
0.691	8.39E-05
0.692	9.22E-05
0.693	9.85E-05
0.694	0.000102655064126
0.695	0.0001047582932
0.696	0.000104791233914
0.697	0.000102759831105
0.698	9.87E-05
0.699	9.25E-05
0.7	8.43E-05
0.701	7.41E-05
0.702	6.18E-05
0.703	4.75E-05
0.704	3.12E-05
0.705	1.29E-05
0.706	6.92E-06
0.707	2.51E-05
0.708	4.12E-05
0.709	5.54E-05
0.71	6.76E-05
0.711	7.77E-05
0.712	8.59E-05
0.713	9.22E-05
0.714	9.64E-05
0.715	9.87E-05
0.716	9.91E-05
0.717	9.75E-05
0.718	9.39E-05
0.719	8.85E-05
0.72	8.10E-05
0.721	7.17E-05
0.722	6.04E-05
0.723	4.72E-05
0.724	3.21E-05
0.725	1.51E-05
0.726	3.60E-06
0.727	2.11E-05
0.728	3.67E-05
0.729	5.04E-05
0.73	6.22E-05
0.731	7.21E-05
0.732	8.02E-05
0.733	8.64E-05
0.734	9.07E-05
0.735	9.32E-05
0.736	9.38E-05
0.737	9.26E-05
0.738	8.95E-05
0.739	8.46E-05
0.74	7.79E-05
0.741	6.94E-05
0.742	5.90E-05
0.743	4.68E-05
0.744	3.28E-05
0.745	1.70E-05
0.746	5.73E-07
0.747	1.74E-05
0.748	3.25E-05
0.749	4.57E-05
0.75	5.72E-05
0.751	6.69E-05
0.752	7.48E-05
0.753	8.10E-05
0.754	8.54E-05
0.755	8.80E-05
0.756	8.89E-05
0.757	8.80E-05
0.758	8.54E-05
0.759	8.11E-05
0.76	7.50E-05
0.761	6.72E-05
0.762	5.76E-05
0.763	4.63E-05
0.764	3.34E-05
0.765	1.87E-05
0.766	2.24E-06
0.767	1.41E-05
0.768	2.86E-05
0.769	4.15E-05
0.77	5.26E-05
0.771	6.21E-05
0.772	6.99E-05
0.773	7.60E-05
0.774	8.04E-05
0.775	8.32E-05
0.776	8.43E-05
0.777	8.38E-05
0.778	8.16E-05
0.779	7.77E-05
0.78	7.22E-05
0.781	6.50E-05
0.782	5.62E-05
0.783	4.58E-05
0.784	3.37E-05
0.785	2.01E-05
0.786	4.75E-06
0.787	1.10E-05
0.788	2.50E-05
0.789	3.75E-05
0.79	4.84E-05
0.791	5.76E-05
0.792	6.53E-05
0.793	7.14E-05
0.794	7.58E-05
0.795	7.87E-05
0.796	8.00E-05
0.797	7.98E-05
0.798	7.79E-05
0.799	7.45E-05
0.8	6.95E-05
0.801	6.30E-05
0.802	5.49E-05
0.803	4.52E-05
0.804	3.40E-05
0.805	2.13E-05
0.806	6.96E-06
0.807	8.13E-06
0.808	2.18E-05
0.809	3.39E-05
0.81	4.44E-05
0.811	5.35E-05
0.812	6.10E-05
0.813	6.70E-05
0.814	7.16E-05
0.815	7.45E-05
0.816	7.60E-05
0.817	7.60E-05
0.818	7.45E-05
0.819	7.15E-05
0.82	6.70E-05
0.821	6.10E-05
0.822	5.36E-05
0.823	4.46E-05
0.824	3.42E-05
0.825	2.23E-05
0.826	8.92E-06
0.827	5.51E-06
0.828	1.87E-05
0.829	3.05E-05
0.83	4.08E-05
0.831	4.97E-05
0.832	5.71E-05
0.833	6.30E-05
0.834	6.75E-05
0.835	7.06E-05
0.836	7.23E-05
0.837	7.25E-05
0.838	7.13E-05
0.839	6.87E-05
0.84	6.46E-05
0.841	5.91E-05
0.842	5.23E-05
0.843	4.40E-05
0.844	3.43E-05
0.845	2.31E-05
