x	y
0.626	2.40E-05
0.627	4.55E-05
0.628	6.44E-05
0.629	8.08E-05
0.63	9.47E-05
0.631	0.000105999928581
0.632	0.000114829388187
0.633	0.000121155239467
0.634	0.000124985386479
0.635	0.000126327695906
0.636	0.000125189997298
0.637	0.000121580083301
0.638	0.000115505709889
0.639	0.000106974596595
0.64	9.60E-05
0.641	8.26E-05
0.642	6.67E-05
0.643	4.84E-05
0.644	2.77E-05
0.645	4.62E-06
0.646	1.85E-05
0.647	3.91E-05
0.648	5.73E-05
0.649	7.32E-05
0.65	8.66E-05
0.651	9.77E-05
0.652	0.00010646799726
0.653	0.000112855571339
0.654	0.000116897976407
0.655	0.00011860237876
0.656	0.000117975911898
0.657	0.000115025676719
0.658	0.000109758741726
0.659	0.000102182143217
0.66	9.23E-05
0.661	8.01E-05
0.662	6.57E-05
0.663	4.89E-05
0.664	2.99E-05
0.665	8.61E-06
0.666	1.35E-05
0.667	3.33E-05
0.668	5.09E-05
0.669	6.62E-05
0.67	7.93E-05
0.671	9.02E-05
0.672	9.88E-05
0.673	0.000105237927748
0.674	0.000109460656221
0.675	0.000111482077337
0.676	0.000111308708665
0.677	0.00010894703887
0.678	0.000104403527884
0.679	9.77E-05
0.68	8.88E-05
0.681	7.77E-05
0.682	6.45E-05
0.683	4.92E-05
0.684	3.17E-05
0.685	1.20E-05
0.686	8.96E-06
0.687	2.80E-05
0.688	4.50E-05
0.689	5.98E-05
0.69	7.26E-05
0.691	8.32E-05
0.692	9.18E-05
0.693	9.82E-05
0.694	0.000102602797333
0.695	0.000104902070843
0.696	0.000105131055992
0.697	0.000103295697618
0.698	9.94E-05
0.699	9.35E-05
0.7	8.55E-05
0.701	7.54E-05
0.702	6.34E-05
0.703	4.93E-05
0.704	3.31E-05
0.705	1.50E-05
0.706	4.84E-06
0.707	2.32E-05
0.708	3.96E-05
0.709	5.40E-05
0.71	6.64E-05
0.711	7.68E-05
0.712	8.53E-05
0.713	9.18E-05
0.714	9.63E-05
0.715	9.88E-05
0.716	9.94E-05
0.717	9.80E-05
0.718	9.47E-05
0.719	8.95E-05
0.72	8.23E-05
0.721	7.32E-05
0.722	6.21E-05
0.723	4.92E-05
0.724	3.43E-05
0.725	1.75E-05
0.726	1.09E-06
0.727	1.88E-05
0.728	3.47E-05
0.729	4.87E-05
0.73	6.07E-05
0.731	7.10E-05
0.732	7.93E-05
0.733	8.58E-05
0.734	9.04E-05
0.735	9.31E-05
0.736	9.41E-05
0.737	9.31E-05
0.738	9.03E-05
0.739	8.57E-05
0.74	7.93E-05
0.741	7.10E-05
0.742	6.09E-05
0.743	4.90E-05
0.744	3.53E-05
0.745	1.97E-05
0.746	2.40E-06
0.747	1.48E-05
0.748	3.02E-05
0.749	4.37E-05
0.75	5.55E-05
0.751	6.55E-05
0.752	7.38E-05
0.753	8.02E-05
0.754	8.49E-05
0.755	8.79E-05
0.756	8.91E-05
0.757	8.85E-05
0.758	8.62E-05
0.759	8.22E-05
0.76	7.64E-05
0.761	6.89E-05
0.762	5.96E-05
0.763	4.87E-05
0.764	3.60E-05
0.765	2.16E-05
0.766	5.49E-06
0.767	1.11E-05
0.768	2.60E-05
0.769	3.92E-05
0.77	5.07E-05
0.771	6.05E-05
0.772	6.86E-05
0.773	7.51E-05
0.774	7.99E-05
0.775	8.30E-05
0.776	8.44E-05
0.777	8.42E-05
0.778	8.23E-05
0.779	7.88E-05
0.78	7.36E-05
0.781	6.68E-05
0.782	5.84E-05
0.783	4.83E-05
0.784	3.65E-05
0.785	2.32E-05
0.786	8.22E-06
0.787	7.71E-06
0.788	2.21E-05
0.789	3.50E-05
0.79	4.62E-05
0.791	5.58E-05
0.792	6.39E-05
0.793	7.03E-05
0.794	7.51E-05
0.795	7.84E-05
0.796	8.00E-05
0.797	8.01E-05
0.798	7.87E-05
0.799	7.56E-05
0.8	7.10E-05
0.801	6.48E-05
0.802	5.71E-05
0.803	4.78E-05
0.804	3.69E-05
0.805	2.45E-05
0.806	1.06E-05
0.807	4.57E-06
0.808	1.86E-05
0.809	3.11E-05
0.81	4.20E-05
0.811	5.15E-05
0.812	5.94E-05
0.813	6.58E-05
0.814	7.07E-05
0.815	7.41E-05
0.816	7.60E-05
0.817	7.63E-05
0.818	7.52E-05
0.819	7.26E-05
0.82	6.85E-05
0.821	6.29E-05
0.822	5.58E-05
0.823	4.72E-05
0.824	3.72E-05
0.825	2.57E-05
0.826	1.27E-05
0.827	1.67E-06
0.828	1.53E-05
0.829	2.75E-05
0.83	3.82E-05
0.831	4.74E-05
0.832	5.53E-05
0.833	6.16E-05
0.834	6.66E-05
0.835	7.00E-05
0.836	7.21E-05
0.837	7.27E-05
0.838	7.19E-05
0.839	6.97E-05
0.84	6.61E-05
0.841	6.10E-05
0.842	5.45E-05
0.843	4.66E-05
0.844	3.73E-05
0.845	2.66E-05
0.846	1.45E-05
0.847	1.04E-06
0.848	1.22E-05
0.849	2.41E-05
0.85	3.46E-05
0.851	4.37E-05
0.852	5.14E-05
0.853	5.77E-05
0.854	6.27E-05
0.855	6.63E-05
0.856	6.85E-05
0.857	6.93E-05
0.858	6.88E-05
0.859	6.70E-05
0.86	6.37E-05
0.861	5.92E-05
0.862	5.32E-05
0.863	4.60E-05
0.864	3.74E-05
0.865	2.74E-05
0.866	1.61E-05
0.867	3.51E-06
0.868	9.40E-06
0.869	2.10E-05
0.87	3.12E-05
0.871	4.01E-05
0.872	4.78E-05
0.873	5.40E-05
0.874	5.90E-05
0.875	6.27E-05
0.876	6.51E-05
0.877	6.61E-05
0.878	6.59E-05
0.879	6.44E-05
0.88	6.15E-05
0.881	5.74E-05
0.882	5.20E-05
0.883	4.53E-05
0.884	3.73E-05
0.885	2.81E-05
0.886	1.75E-05
0.887	5.72E-06
0.888	6.76E-06
0.889	1.81E-05
0.89	2.81E-05
0.891	3.68E-05
0.892	4.44E-05
0.893	5.06E-05
0.894	5.56E-05
0.895	5.93E-05
0.896	6.18E-05
0.897	6.31E-05
0.898	6.31E-05
0.899	6.19E-05
0.9	5.94E-05
0.901	5.57E-05
0.902	5.08E-05
0.903	4.46E-05
0.904	3.72E-05
0.905	2.86E-05
0.906	1.87E-05
0.907	7.69E-06
0.908	4.29E-06
0.909	1.53E-05
0.91	2.51E-05
0.911	3.38E-05
0.912	4.12E-05
0.913	4.74E-05
0.914	5.24E-05
0.915	5.62E-05
0.916	5.88E-05
0.917	6.02E-05
0.918	6.04E-05
0.919	5.95E-05
0.92	5.73E-05
0.921	5.40E-05
0.922	4.95E-05
0.923	4.39E-05
0.924	3.70E-05
0.925	2.90E-05
0.926	1.98E-05
0.927	9.44E-06
0.928	1.99E-06
0.929	1.28E-05
0.93	2.24E-05
0.931	3.08E-05
0.932	3.82E-05
0.933	4.43E-05
0.934	4.93E-05
0.935	5.32E-05
0.936	5.59E-05
0.937	5.75E-05
0.938	5.79E-05
0.939	5.72E-05
0.94	5.54E-05
0.941	5.24E-05
0.942	4.83E-05
0.943	4.31E-05
0.944	3.68E-05
0.945	2.93E-05
0.946	2.07E-05
0.947	1.10E-05
0.948	1.69E-07
0.949	1.04E-05
0.95	1.98E-05
0.951	2.81E-05
0.952	3.53E-05
0.953	4.14E-05
0.954	4.64E-05
0.955	5.03E-05
0.956	5.32E-05
0.957	5.49E-05
0.958	5.55E-05
0.959	5.50E-05
0.96	5.35E-05
0.961	5.08E-05
0.962	4.71E-05
0.963	4.23E-05
0.964	3.64E-05
0.965	2.95E-05
0.966	2.15E-05
0.967	1.24E-05
0.968	2.20E-06
0.969	8.12E-06
0.97	1.74E-05
0.971	2.55E-05
0.972	3.27E-05
0.973	3.87E-05
0.974	4.37E-05
0.975	4.77E-05
0.976	5.06E-05
0.977	5.24E-05
0.978	5.32E-05
0.979	5.30E-05
0.98	5.17E-05
0.981	4.93E-05
0.982	4.60E-05
0.983	4.15E-05
0.984	3.61E-05
0.985	2.96E-05
0.986	2.21E-05
0.987	1.36E-05
0.988	4.02E-06
0.989	6.01E-06
0.99	1.51E-05
0.991	2.31E-05
0.992	3.01E-05
0.993	3.61E-05
0.994	4.11E-05
0.995	4.51E-05
0.996	4.81E-05
0.997	5.00E-05
0.998	5.10E-05
0.999	5.10E-05
1	4.99E-05
1.001	4.79E-05
1.002	4.48E-05
1.003	4.08E-05
1.004	3.57E-05
1.005	2.97E-05
1.006	2.27E-05
1.007	1.47E-05
1.008	5.67E-06
1.009	4.03E-06
1.01	1.29E-05
1.011	2.08E-05
1.012	2.78E-05
1.013	3.37E-05
1.014	3.87E-05
1.015	4.27E-05
1.016	4.57E-05
1.017	4.78E-05
1.018	4.89E-05
1.019	4.90E-05
1.02	4.82E-05
1.021	4.64E-05
1.022	4.37E-05
1.023	4.00E-05
1.024	3.53E-05
1.025	2.97E-05
1.026	2.31E-05
1.027	1.56E-05
1.028	7.15E-06
1.029	2.15E-06
1.03	1.09E-05
1.031	1.87E-05
1.032	2.55E-05
1.033	3.14E-05
1.034	3.64E-05
1.035	4.04E-05
1.036	4.35E-05
1.037	4.57E-05
1.038	4.69E-05
1.039	4.72E-05
1.04	4.66E-05
1.041	4.50E-05
1.042	4.26E-05
1.043	3.92E-05
1.044	3.49E-05
1.045	2.96E-05
1.046	2.35E-05
1.047	1.64E-05
1.048	8.48E-06
1.049	3.89E-07
1.05	8.95E-06
1.051	1.66E-05
1.052	2.34E-05
1.053	2.92E-05
1.054	3.42E-05
1.055	3.82E-05
1.056	4.14E-05
1.057	4.36E-05
1.058	4.50E-05
1.059	4.54E-05
1.06	4.50E-05
1.061	4.37E-05
1.062	4.15E-05
1.063	3.84E-05
1.064	3.44E-05
1.065	2.95E-05
1.066	2.38E-05
1.067	1.72E-05
1.068	9.67E-06
1.069	1.29E-06
1.07	7.13E-06
1.071	1.47E-05
1.072	2.13E-05
1.073	2.71E-05
1.074	3.21E-05
1.075	3.61E-05
1.076	3.93E-05
1.077	4.16E-05
1.078	4.31E-05
1.079	4.37E-05
1.08	4.35E-05
1.081	4.24E-05
1.082	4.04E-05
1.083	3.76E-05
1.084	3.39E-05
1.085	2.94E-05
1.086	2.40E-05
1.087	1.78E-05
1.088	1.07E-05
1.089	2.83E-06
1.09	5.41E-06
1.091	1.28E-05
1.092	1.94E-05
1.093	2.52E-05
1.094	3.01E-05
1.095	3.41E-05
1.096	3.74E-05
1.097	3.98E-05
1.098	4.13E-05
1.099	4.21E-05
1.1	4.20E-05
1.101	4.11E-05
1.102	3.94E-05
1.103	3.68E-05
1.104	3.34E-05
1.105	2.92E-05
1.106	2.42E-05
1.107	1.83E-05
1.108	1.17E-05
1.109	4.22E-06
1.11	3.78E-06
1.111	1.11E-05
1.112	1.76E-05
1.113	2.33E-05
1.114	2.82E-05
1.115	3.22E-05
1.116	3.55E-05
1.117	3.80E-05
1.118	3.96E-05
1.119	4.05E-05
1.12	4.06E-05
1.121	3.98E-05
1.122	3.83E-05
1.123	3.60E-05
1.124	3.29E-05
1.125	2.90E-05
1.126	2.43E-05
1.127	1.88E-05
1.128	1.25E-05
1.129	5.49E-06
1.13	2.23E-06
1.131	9.43E-06
1.132	1.58E-05
1.133	2.15E-05
1.134	2.63E-05
1.135	3.04E-05
1.136	3.37E-05
1.137	3.62E-05
1.138	3.80E-05
1.139	3.90E-05
1.14	3.92E-05
1.141	3.86E-05
1.142	3.73E-05
1.143	3.52E-05
1.144	3.24E-05
1.145	2.87E-05
1.146	2.44E-05
1.147	1.92E-05
1.148	1.33E-05
1.149	6.64E-06
1.15	7.58E-07
1.151	7.85E-06
1.152	1.42E-05
1.153	1.98E-05
1.154	2.46E-05
1.155	2.87E-05
1.156	3.20E-05
1.157	3.46E-05
